id2,id,keyword,translation,username1,status1,cant_post1,wait_msg1,hidden_from_timeline1,missing_1hr_later1,missing_24hrs_later1,deleted_msg1,deleted_msg_time1,username2,status2,cant_post2,wait_msg2,hidden_from_timeline2,missing_1hr_later2
94,132,尚福林+辞职,Shang Fulin+resign,user2,,,,1,.,,,,user18,,,,1,1
95,133,尚福林+被抓,Shang Fulin+be caught,user2,,,,,.,,,,user18,,,,,1
96,134,蛤蟆+死,toad+dead,user2,,,,,.,,,,user18,,,,,1
97,135,蛤蟆+病危,toad+critically ill,user2,,,,,.,,,,user18,,1,,,1
98,136,伊力哈木,Ilham,user2,,,,,.,,,,user18,,,,,1
99,138,李东生+性贿赂,Li Dongsheng+sexual bribe,user2,,,,1,.,,,,user18,,,,1,1
100,139,性爱视频,sex tape,user3,deleted,,,,.,,,,user18,,,,,
101,140,人渣+排行榜,scumbag+ranked list (shitlist),user3,,,,,.,,,,user19,,,,,
102,141,解放军301+炸弹,PLA 301+bomb,user3,,,,1,.,,,,user19,,,,1,1
103,145,花园网,Garden Networks,user3,,,,,.,,,,user19,,,,,
104,146,习上,On Xi,user3,,,,,.,,,,user19,,,,,
105,152,李明+公安部,Li Ming+Public Security Bureau,user3,,,,,.,,,,user19,,,,,
106,153,李明+李东生,Li Ming+Li Dongsheng,user3,,,,,.,,,,user19,,,,,1
107,155,北京公安局长,Beijing Public Security Bureau Director ,user3,,,,,.,,,,user19,,,,,
108,156,香港商报+中纪委,Hong Kong Commercial Daily+Central Discipline Commission,user3,,,,1,.,,,,user19,,,,1,1
109,157,中纪委+大老虎,Central Discipline Commission+big tiger,user3,,,,1,.,,,,user19,,,,1,1
110,158,常委+财产,Standing Committee member+assets,user3,,,,1,.,,,,user19,,,,1,1
111,159,方便面+抓,instant noodles+grab,user3,,,,,.,,,,user19,,,,,
112,161,不伦不类,wishy-washy,user3,,,,,.,,,,user19,,,,,
113,162,习+作秀,Xi+put on a show,user3,,,,,.,,,,user19,,,,,
114,163,习+炒作,Xi+speculate,user3,,,,,.,,,,user19,,,,,
115,164,习+演戏,Xi+put on an act,user3,,,,,.,,,,user19,,,,,
116,165,习+大动作,Xi+big move,user3,,,,,.,,,,user19,,,,,
117,166,习+新政,Xi+new administration,user3,,,,,.,,,,user19,,,,,
118,167,习+前任,Xi+predecessor,user3,,,,,.,,,,user19,,,,,
119,168,习+周,Xi+Zhou [Yongkang],user3,,,,,.,,,,user19,,,,,
120,169,李东生+习,Li Dongsheng+Xi,user3,,,,,.,,,,user19,,,,,
121,170,习负责,Xi is responsible [for...],user3,,,,,.,,,,user19,,,,,
122,171,习明（泽）,Xi Ming[ze],user3,,1,,,.,,,,user19,,1,,1,1
123,172,政治谣言,political rumor,user3,,,,,.,,,,user19,,,,,
124,173,政治内幕,politics behind the scenes,user3,,,,,.,,,,user19,,,,,
125,174,刀+新疆,knife+Xinjiang,user3,,,,,.,,,,user19,,,,,
126,175,军队+警察,army+police,user3,,,,,.,,,,user19,,,,,
127,176,毛+专制,Mao+autocracy,user3,,,,,.,,,,user19,,,,,
128,177,毛+独裁,Mao+dictatorship,user3,,,,,.,,,,user19,,,,,
129,178,周老虎,Tiger Zhou,user3,,,,,.,,,,user19,,,,,1
130,179,周政法,Politburo Zhou,user3,,,,,.,,,,user19,,,,,
131,180,方便面+下台,instant noodles+leave office,user3,,,,,.,,,,user19,,,,,
132,181,方便面+出事,instant noodles+have a mishap,user3,,,,,.,,,,user19,,,,,
133,182,方便面+双规,instant noodles+double detention,user3,,,,,.,,,,user19,,,,,
134,183,方便面+被抓,instant noodles+caught,user3,,,,,.,,,,user19,,,,,
135,184,方便面+被捕,instant noodles+arrested,user3,,,,,.,,,,user19,,,,,
136,186,吴兵+白手套,Wu Bin+white glove ,user3,,,,,.,,,,user19,,,,,
137,187,令谷,Ling Gu,user3,,,,,.,,,,user19,,,,,1
138,189,李东生+汤灿,Li Dongsheng+Tang Can,user3,,,,,.,,,,user19,,,,,1
139,190,李东生+周,Li Dongsheng+Zhou,user3,,,,,.,,,,user19,,,,,1
140,191,李东生+zhou,Li Dongzheng+zhou,user3,,,,,.,,,,user19,,,,,1
141,192,李东生+ZK,Li Dongsheng+ZK,user3,,,,,.,,,,user19,,,,,1
142,193,曹建明+调查,Cao Jianming+investigate,user3,,,,1,.,,,,user19,,,,1,1
143,194,习+某平,Xi+Some-ping,user3,,,,,.,,,,user19,,,,,
144,195,习+平平,Xi+Pingping,user3,,,,,.,,,,user19,,,,,
145,196,习+亲属,Xi+relatives,user3,,,,,.,,,,user19,,,,,
146,199,政府比房产商黑,government is shadier than property developers,user3,,,,,.,,,,user19,,,,,
147,202,周勇康,Zhou Brave [yong]-kang,user3,,,,,.,,,,user19,,,,,
148,203,周永糠,Zhou Yong-bran [kang],user3,,1,,,.,,,,user19,,1,,,
149,204,州永康,State [Zhou] Yongkang,user3,,,,,.,,,,user19,,,,,
150,205,洲永康,Continent [Zhou] Yongkang,user3,,,,,.,,,,user19,,,,,
151,206,粥永康,Congee [Zhou] Yongkang,user4,deleted,,,,.,,,,user20,,,,,
152,207,粥永糠,Congee Yong-bran,user4,,,,,.,,,,user20,,,,,
153,208,粥涌康,Congee Gush [yong]-kang,user4,,,,,.,,,,user20,,,,,
154,209,舟永康,Boat [Zhou] Yongkang,user4,,,,,.,,,,user20,,,,,
155,210,咏康,Chant [yong]-kang,user4,,,,,.,,,,user20,,,,,
156,211,咏糠,Chant-bran,user4,,,,,.,,,,user20,,,,,
157,212,涌康,Gush-kang,user4,,,,,.,,,,user20,,,,,
158,213,涌糠,Gush-bran,user4,,,,,.,,,,user20,,,,,
159,214,臃康,Swollen [yong]-kang,user4,,,,,.,,,,user20,,,,,
160,215,媒体管制,regulation of media,user4,,,,,.,,,,user20,,,,,1
161,216,微博+审查,Weibo+censor,user4,,,,,.,,,,user20,,,,,
162,217,小秘书+审查,little secretary+censor,user4,,,,,.,,,,user20,,,,,
163,218,总理+改革,premier+reform,user4,,,,,.,,,,user20,,,,,
164,219,王铮,Wang Zheng,user4,,,,,.,,,,user20,,,,,
165,220,至宪党,Zhi Xian Party,user4,,,,1,.,,,,user20,,,,1,1
166,221,天安门+访民,Tiananmen+petitioners,user4,,,,,.,,,,user20,,,,,1
167,222,天安门+撒传单,Tiananmen+scatter pamphlets,user4,,,,1,.,,,,user20,,,,1,1
168,224,天安门+炸弹,Tiananmen+bomb,user4,,,,,.,,,,user20,,,,,
169,225,天安门+爆炸,Tiananmen+explosion,user4,,,,1,.,,,,user20,,,,1,1
170,226,宪法法院,constitutional court,user4,,,,,.,,,,user20,,,,,
171,227,（习）近平+薄,(Xi) Jinping+Bo [Xilai],user4,,,,,.,,,,user20,,,,,
172,228,（习）近平+锦涛,(Xi) Jinping+[Hu] Jintao,user4,,,,,.,,,,user20,,,,,
173,240,习+家族,Xi+family,user4,,,,,.,,,,user20,,,,,1
174,242,高层恩怨与习仲勋,"Grudges, Gratitude, and Xi Zhongxun",user4,,,,,.,,,,user20,,,,,1
175,244,刁明泽,Xi Mingze,user4,,,,1,.,,,,user20,,,,1,1
176,245,习正宁,Xi Zhengning,user4,,,,,.,,,,user20,,,,,
177,246,习富平,Xi Fuping,user4,,,,,.,,,,user20,,,,,
178,247,习和平,Xi Heping,user4,,,,,.,,,,user20,,,,,
179,248,习干平,Xi Ganping,user4,,,,,.,,,,user20,,,,,
180,249,习桥桥 ,Xi Qiaoqiao,user4,,,,,.,,,,user20,,,,,1
181,250,习安安,Xi An'an,user4,,,,,.,,,,user20,,,,,
182,251,习远平,Xi Yuanping,user4,,,,,.,,,,user20,,,,,1
183,252,刁远平,Diao Yuanping,user4,,,,1,.,,,,user20,,,,1,1
184,253,习明正,Xi Mingzheng,user4,,,,,.,,,,user20,,,,,
