id,name,banned,results,datetested,trigger,results2,datetested2,translation
1204,被砍,,12019502,2014-05-11 18:21:57 UTC,,5766588,2014-11-04 04:02:52 UTC,pricked
1205,被扎,,9638031,2014-05-11 18:22:24 UTC,,1405026,2014-11-04 04:03:46 UTC,cut
1206,人民+医院,,24106972,2014-05-11 18:22:51 UTC,,15126814,2014-11-04 04:04:37 UTC,people + hospital
1207,邢志敏,,176,2014-05-11 18:23:19 UTC,,8248,2014-11-04 04:05:24 UTC,Xing Zhimin
1208,航天总医院,,51798,2014-05-11 18:23:46 UTC,,20274,2014-11-04 04:05:54 UTC,Aerospace General Hospital
1209,711,,5754520,2014-05-11 18:24:15 UTC,,3853063,2014-11-04 04:06:19 UTC,711
1210,吕福志,,9,2014-05-11 18:24:43 UTC,,101,2014-11-04 04:06:44 UTC,Lü Fuke
1211,亡国,,6923030,2014-05-11 18:25:10 UTC,,4826703,2014-11-04 04:07:07 UTC,doomed nation
1212,綦江,,1089526,2014-05-11 18:25:36 UTC,,765538,2014-11-04 04:07:32 UTC,Qijiang
1213,我们要吃饭,1,-1,2014-05-11 18:28:33 UTC,我们要吃饭,0,2014-11-04 04:07:53 UTC,we want to eat
1214,万盛,,1565776,2014-05-11 18:28:59 UTC,,1089741,2014-11-04 04:08:17 UTC,Wansheng
1215,立案,,17270151,2014-05-11 18:29:26 UTC,,12580635,2014-11-04 04:08:40 UTC,filed for investigation
1216,纪委,,2929504,2014-05-11 18:29:53 UTC,,2493591,2014-11-04 04:09:05 UTC,Commission for Discipline Inspection
1217,调查,,289022885,2014-05-11 18:30:20 UTC,,196810961,2014-11-04 04:09:30 UTC,investigate
1218,广隶,1,-1,2014-05-11 18:31:36 UTC,广隶,0,2014-11-04 04:09:52 UTC,Guang Li
1219,尼尔,,4786110,2014-05-11 18:32:03 UTC,,2451826,2014-11-04 04:10:15 UTC,Neil
1220,英国+商人,,271,2014-05-11 18:32:31 UTC,,237219,2014-11-04 04:10:40 UTC,British businessman
1221,英国+保姆,,183,2014-05-11 18:32:57 UTC,,91826,2014-11-04 04:11:04 UTC,British housekeeper
1222,熙,,67346838,2014-05-11 18:33:25 UTC,,53246972,2014-11-04 04:11:29 UTC,Xi
1223,瓜瓜,,8848548,2014-05-11 18:33:53 UTC,,6714892,2014-11-04 04:11:54 UTC,Guagua
1224,BO,,18386564,2014-05-11 18:34:21 UTC,,13666486,2014-11-04 04:12:20 UTC,BO
1225,XI,,1124058,2014-05-11 18:34:49 UTC,,2223171,2014-11-04 04:12:45 UTC,XI
1226,重庆,,240206867,2014-05-11 18:35:17 UTC,,171061354,2014-11-04 04:13:11 UTC,Chongqing
1227,火锅,,136658059,2014-05-11 18:35:44 UTC,,92014456,2014-11-04 04:13:38 UTC,hotpot
1228,西红柿,,67932094,2014-05-11 18:36:13 UTC,,49548690,2014-11-04 04:14:16 UTC,tomato
1229,西南王,,1196452,2014-05-11 18:36:41 UTC,,737318,2014-11-04 04:15:06 UTC,King of the Southwest
1230,渝督,,691,2014-05-11 18:37:08 UTC,,3093,2014-11-04 04:15:55 UTC,Minister of Yu
1231,谷,,125657905,2014-05-11 18:37:41 UTC,,103292538,2014-11-04 04:16:49 UTC,Gu
1232,开来,,14908367,2014-05-11 18:38:49 UTC,,12422959,2014-11-04 04:17:40 UTC,Kailai
1233,gu,,14277604,2014-05-11 18:39:53 UTC,,10434543,2014-11-04 04:18:34 UTC,gu
1234,kailai,,19776,2014-05-11 18:40:25 UTC,,17528,2014-11-04 04:19:29 UTC,kailai
1235,王丽娟,,276882,2014-05-11 18:41:34 UTC,,187675,2014-11-04 04:20:20 UTC,Wang Lijuan
1236,护士长,,1541489,2014-05-11 18:42:31 UTC,,1090143,2014-11-04 04:21:14 UTC,head nurse
1237,大力王,,7081466,2014-05-11 18:42:59 UTC,,29989,2014-11-04 04:22:06 UTC,Energetic Wang
1238,王立JUN,,139,2014-05-11 18:43:26 UTC,,2062,2014-11-04 04:22:31 UTC,Wang Li JUN
1239,wanglijun,,532,2014-05-11 18:43:54 UTC,,5155,2014-11-04 04:23:00 UTC,wanglijun
1240,叛逃,,2143326,2014-05-11 18:44:23 UTC,,1294508,2014-11-04 04:23:52 UTC,defect
1241,中共中央,,8690347,2014-05-11 18:44:51 UTC,,6505588,2014-11-04 04:24:39 UTC,Central Committee
1242,篡党,,351,2014-05-11 18:45:18 UTC,,6188,2014-11-04 04:25:32 UTC,usurp Party leadership
1243,温相,,65922,2014-05-11 18:45:46 UTC,,21931,2014-11-04 04:26:19 UTC,Wen Xiang
1244,政治斗争,1,-1,2014-05-11 18:46:10 UTC,政治斗争,0,2014-11-04 04:27:07 UTC,political struggle
1245,励之,,52740,2014-05-11 18:46:37 UTC,,26828,2014-11-04 04:27:57 UTC,Lizhi
1246,方lizhi,,46,2014-05-11 18:47:10 UTC,,254,2014-11-04 04:28:48 UTC,Fang lizhi
1247,方校长,,169750,2014-05-11 18:48:24 UTC,,76708,2014-11-04 04:29:44 UTC,[University] President Fang
1248,中科大+校长,,31317,2014-05-11 18:49:12 UTC,,19593,2014-11-04 04:30:34 UTC,University of Science and Technology of China + president
1249,习+薄,1,-1,2014-05-11 18:50:28 UTC,习薄,0,2014-11-04 04:31:20 UTC,Xi + Bo
1250,习储君,1,-1,2014-05-11 18:52:07 UTC,习储,0,2014-11-04 04:31:40 UTC,Crown Prince Xi
1251,北京日报+总书记,,151,2014-05-11 18:52:32 UTC,,313,2014-11-04 04:32:04 UTC,Beijing Daily + secretary-general
1252,换班,,926463,2014-05-11 18:52:59 UTC,,499473,2014-11-04 04:32:29 UTC,changing of the guard
1253,倪玉兰,,304881,2014-05-11 18:53:27 UTC,,101574,2014-11-04 04:32:59 UTC,Ni Yulan
1254,肖勇,,23,2014-05-11 18:53:56 UTC,,423808,2014-11-04 04:33:53 UTC,Xiao Yong
1255,欧荣贵,,53,2014-05-11 18:54:23 UTC,,7217,2014-11-04 04:34:43 UTC,Ou Ronggui
1256,杨崇,,97363,2014-05-11 18:54:51 UTC,,39182,2014-11-04 04:35:32 UTC,Yang Chong
1257,刘珊娟,,53,2014-05-11 18:55:18 UTC,,538,2014-11-04 04:36:18 UTC,Liu Shanjuan
1258,黄文勋,,222,2014-05-11 18:55:45 UTC,,17594,2014-11-04 04:37:07 UTC,Huang Wenxun
1259,张新起,,281818,2014-05-11 18:56:13 UTC,,122756,2014-11-04 04:37:58 UTC,Zhang Xinqi
1260,gov,,1493386,2014-05-11 18:56:40 UTC,,1002400,2014-11-04 04:38:49 UTC,gov
1261,习禁评,1,-1,2014-05-11 18:58:21 UTC,习禁评,0,2014-11-04 04:39:37 UTC,Xi Cannot-Comment
1262,政法委+培训,1,-1,2014-05-11 19:00:00 UTC,政法委,0,2014-11-04 04:40:19 UTC,Political and Legislative Affairs Committee + training
1263,地方党委,,507,2014-05-11 19:00:26 UTC,,303271,2014-11-04 04:41:03 UTC,local Party committee
1264,HU锦套,1,-1,2014-05-11 19:02:53 UTC,锦套,0,2014-11-04 04:41:24 UTC,HU Embroidered-Set
1265,民主自由,1,-1,2014-05-11 19:07:50 UTC,民主自由,0,2014-11-04 04:41:45 UTC,democratic freedom
1266,徐明,,1110783,2014-05-11 19:08:17 UTC,,637308,2014-11-04 04:42:08 UTC,Xu Ming
1267,实德+经济案,,12,2014-05-11 19:25:58 UTC,,3093,2014-11-04 04:42:32 UTC,[Dalian] Shide [Group] + economic case
1268,温女婿,1,-1,2014-05-11 19:27:09 UTC,温女婿,0,2014-11-04 04:42:53 UTC,Wen's son-in-law
1269,北京+斗争,,392,2014-05-11 19:27:32 UTC,,416859,2014-11-04 04:43:17 UTC,Beijing + fight
1270,京城+斗争,,389,2014-05-11 19:27:55 UTC,,4128,2014-11-04 04:43:40 UTC,capital city + fight
1271,被阉,,646,2014-05-11 19:28:19 UTC,,203218,2014-11-04 04:44:09 UTC,was castrated
1272,刘晓原,,500,2014-05-11 19:28:43 UTC,,749541,2014-11-04 04:44:34 UTC,Liu Xiaoyuan
1273,尔康,,12443772,2014-05-11 19:29:06 UTC,,8184000,2014-11-04 04:45:00 UTC,Erkang
1274,共军,,1690118,2014-05-11 19:29:30 UTC,,1056682,2014-11-04 04:45:25 UTC,communist armed forces
1275,重庆+薄熙来,,166466,2014-05-11 19:29:53 UTC,,424821,2014-11-04 04:45:51 UTC,Chongqing + Bo Xilai
1276,习主席,,1415537,2014-05-11 19:30:17 UTC,,979681,2014-11-04 04:46:16 UTC,Chairman Xi
1277,梁振英+人民网,,246,2014-05-11 19:30:40 UTC,,19591,2014-11-04 04:46:39 UTC,Leung Chun-ying + PeopleNet [People's Daily Online]
1278,梁振英+简历,,71,2014-05-11 19:31:03 UTC,,3093,2014-11-04 04:47:00 UTC,Leung Chun-ying + résumé
1279,梁振英+同志,,593,2014-05-11 19:31:26 UTC,,0,2014-11-04 04:47:21 UTC,Leung Chun-ying + comrade
1280,梁书记+人民网,,3,2014-05-11 19:31:49 UTC,,36,2014-11-04 04:47:42 UTC,Secretary Leung + PeopleNet
1281,抗议+油价,,112066,2014-05-11 19:32:13 UTC,,56707,2014-11-04 04:48:06 UTC,protest + price of oil
1282,解禁,,6072337,2014-05-11 19:32:37 UTC,,4080847,2014-11-04 04:48:34 UTC,lift a ban
1283,女同,,25084578,2014-05-11 19:33:00 UTC,,1004369,2014-11-04 04:49:28 UTC,female comrade (lesbian)
1284,警变,,199,2014-05-11 19:33:23 UTC,,2066,2014-11-04 04:50:24 UTC,[armed] police mutiny
1285,西藏+自焚,1,-1,2014-05-11 19:34:33 UTC,自焚,0,2014-11-04 04:51:10 UTC,Tibet + self-immolation
1286,藏+里,,27661963,2014-05-11 19:34:56 UTC,,29057173,2014-11-04 04:52:00 UTC,[Tibet] + inside
1287,抵制日货,,9979089,2014-05-11 19:35:20 UTC,,5645261,2014-11-04 04:52:50 UTC,boycott Japanese goods
1288,4月3日,,733,2014-05-11 19:35:43 UTC,,6703737,2014-11-04 04:53:40 UTC,April Third
1289,四+事件,,7469771,2014-05-11 19:36:07 UTC,,6375853,2014-11-04 04:54:29 UTC,four + incident
1290,海伍德,,323017,2014-05-11 19:36:30 UTC,,141267,2014-11-04 04:55:19 UTC,Heywood
1291,张德江,,138519,2014-05-11 19:36:53 UTC,,0,2014-11-04 04:56:06 UTC,Zhang Dejiang
1292,调入,,962,2014-05-11 19:37:17 UTC,,11106156,2014-11-04 04:56:50 UTC,transfer
1293,军车,,6307259,2014-05-11 19:37:40 UTC,,4066037,2014-11-04 04:57:15 UTC,military vehicle
1294,政法委+武警,1,-1,2014-05-11 19:39:13 UTC,政法委,0,2014-11-04 04:57:36 UTC,Politics and Law Commission + armed police
1295,北京+军警,1,-1,2014-05-11 19:40:23 UTC,北京军警,0,2014-11-04 04:57:57 UTC,Beijing + military and police
1296,军队+枪响,,183,2014-05-11 19:40:46 UTC,,617,2014-11-04 04:58:22 UTC,army + sound of gunshots
1297,换血,,1541325,2014-05-11 19:41:10 UTC,,1071116,2014-11-04 04:59:12 UTC,change blood
1298,薄瓜瓜,,108792,2014-05-11 19:41:33 UTC,,120659,2014-11-04 05:00:01 UTC,Bo Guagua
1299,贾公子,1,-1,2014-05-11 19:42:43 UTC,贾公子,0,2014-11-04 05:00:47 UTC,Prince Jia
1300,北京+军车,,852021,2014-05-11 19:43:06 UTC,,459836,2014-11-04 05:01:38 UTC,Beijing + miltary vehicle
1301,北京+军队,,526,2014-05-11 19:43:32 UTC,,598126,2014-11-04 05:02:27 UTC,Beijing + army
1302,四大天王+被秒,1,-1,2014-05-11 19:45:05 UTC,四大天王被秒,0,2014-11-04 05:03:11 UTC,four great emperors + seconded
1303,京城+戒严,1,-1,2014-05-11 19:46:15 UTC,戒严,0,2014-11-04 05:03:55 UTC,capital + impose martial law
1304,北京+戒严,1,-1,2014-05-11 19:47:25 UTC,戒严,0,2014-11-04 05:04:44 UTC,Beijing + impose martial law
1305,军队+进京,1,-1,2014-05-11 19:48:35 UTC,军队进京,0,2014-11-04 05:05:33 UTC,army + enter the capital
1306,li长春,1,-1,2014-05-11 19:49:46 UTC,li长春,0,2014-11-04 05:06:15 UTC,li Changchun
1307,胡石根,1,-1,2014-05-11 19:51:19 UTC,胡石根,0,2014-11-04 05:06:55 UTC,Hu Shigen
1308,封从德,1,-1,2014-05-11 19:52:53 UTC,封从德,0,2014-11-04 05:07:15 UTC,Feng Congde
1309,绝食书,1,-1,2014-05-11 19:54:03 UTC,绝食书,0,2014-11-04 05:07:37 UTC,Hunger Strike Declaration
1310,四二二+事件,,46,2014-05-11 19:54:25 UTC,,837,2014-11-04 05:08:00 UTC,four two two + incident
1311,四二六社论,1,-1,2014-05-11 19:55:58 UTC,四二六社论,0,2014-11-04 05:08:21 UTC,four two six editorial
1312,四二七+游行,1,-1,2014-05-11 19:57:30 UTC,四游行,0,2014-11-04 05:08:42 UTC,four two seven + march
1313,四+运动,,14495791,2014-05-11 19:57:53 UTC,,14176980,2014-11-04 05:09:05 UTC,four + movement
1314,重庆模式,1,-1,2014-05-11 19:59:03 UTC,重庆模式,0,2014-11-04 05:09:26 UTC,Chongqing model
1315,尼尔伍德,,899808,2014-05-11 19:59:27 UTC,,220645,2014-11-04 05:09:50 UTC,Neil Wood
1316,Neil Wood,,39,2014-05-11 19:59:50 UTC,,589,2014-11-04 05:10:18 UTC,Neil Wood
1317,Nick Haywood,,1045694,2014-05-11 20:00:13 UTC,,102,2014-11-04 05:11:06 UTC,Nick Haywood
1318,胡core,1,-1,2014-05-11 20:01:23 UTC,胡core,0,2014-11-04 05:11:50 UTC,Hu core
1319,习core,1,-1,2014-05-11 20:02:33 UTC,习core,0,2014-11-04 05:12:38 UTC,Xi core
1320,江+蛤蟆,1,-1,2014-05-11 20:03:44 UTC,江蛤蟆,0,2014-11-04 05:13:22 UTC,Jiang + toad
1321,周永k,1,-1,2014-05-11 20:05:17 UTC,周永k,0,2014-11-04 05:14:05 UTC,Zhou Yongk
1322,zhou永康,1,-1,2014-05-11 20:06:51 UTC,zhou永康,0,2014-11-04 05:14:47 UTC,zhou Yongkang
1323,江胡斗,1,-1,2014-05-11 20:08:23 UTC,江胡斗,0,2014-11-04 05:15:31 UTC,Jiang-Hu fight
1324,康+宝宝,,653,2014-05-11 20:08:47 UTC,,853936,2014-11-04 05:16:25 UTC,Kang + babies
1325,王护士长,,85715,2014-05-11 20:09:10 UTC,,98079,2014-11-04 05:17:14 UTC,Head Nurse Wang
1326,师傅+天线,,502640,2014-05-11 20:09:33 UTC,,324771,2014-11-04 05:18:07 UTC,master + antenna
1327,造反,1,-1,2014-05-11 20:09:56 UTC,造反,0,2014-11-04 05:18:38 UTC,rebel
1328,中共+内讧,1,-1,2014-05-11 20:11:06 UTC,中共内讧,0,2014-11-04 05:18:58 UTC,CCP + internal conflict
1329,高层+内讧,1,-1,2014-05-11 20:12:16 UTC,高层内讧,0,2014-11-04 05:19:19 UTC,high level + internal conflict
1330,高层+内斗,1,-1,2014-05-11 20:13:48 UTC,层内斗,0,2014-11-04 05:19:40 UTC,high level + internal struggle
1331,康师傅,,1151902,2014-05-11 20:14:11 UTC,,871465,2014-11-04 05:20:04 UTC,Kang Shifu
1332,面瘫胡,,377,2014-05-11 20:14:35 UTC,,856,2014-11-04 05:20:27 UTC,Frozen-Faced Hu [Jintao]
1333,六扇门,,875,2014-05-11 20:14:58 UTC,,909685,2014-11-04 05:20:52 UTC,imperial judiciary
1334,水工系,1,-1,2014-05-11 20:16:08 UTC,水工系,0,2014-11-04 05:21:14 UTC,Department of Irrigation Works
1335,天线宝（宝）,,922,2014-05-11 20:16:32 UTC,,17537,2014-11-04 05:21:38 UTC,Teletubby
1336,江小鱼,1,-1,2014-05-11 20:17:42 UTC,江小鱼,0,2014-11-04 05:22:04 UTC,Jiang Little-fish
1337,方便面+下架,,93936,2014-05-11 20:18:05 UTC,,46423,2014-11-04 05:22:49 UTC,instant noodles + expired
1338,轮胎+天线,,258,2014-05-11 20:18:28 UTC,,11342,2014-11-04 05:23:45 UTC,tire + antenna
1339,习+太子,1,-1,2014-05-11 20:19:38 UTC,习太子,0,2014-11-04 05:24:30 UTC,Xi + princeling
1340,兵变,,532,2014-05-11 20:20:02 UTC,,241483,2014-11-04 05:25:22 UTC,mutiny
1341,zhou yongkang,1,-1,2014-05-11 20:21:11 UTC,yongkang,0,2014-11-04 05:26:08 UTC,zhou yongkang
1342,ZYK,1,-1,2014-05-11 20:21:34 UTC,ZYK,0,2014-11-04 05:26:49 UTC,ZYK
1343,周YK,1,-1,2014-05-11 20:22:44 UTC,周YK,0,2014-11-04 05:27:31 UTC,Zhou YK
1344,胡一刀,,250512,2014-05-11 20:23:07 UTC,,102104,2014-11-04 05:28:19 UTC,Hu Yidao
1345,帝都,1,-1,2014-05-11 20:23:30 UTC,帝都,0,2014-11-04 05:29:06 UTC,imperial capital
1346,康师傅+下架,,353,2014-05-11 20:23:53 UTC,,2129,2014-11-04 05:30:03 UTC,Kang Shifu + expired
1347,王丽娟+护士长,,42848,2014-05-11 20:24:17 UTC,,17533,2014-11-04 05:30:34 UTC,Wang Lijuan + head nurse
1348,番号不明部队,1,-1,2014-05-11 20:25:50 UTC,番号不明部队,0,2014-11-04 05:30:56 UTC,troops of unclear designation
1349,天线宝宝+康师傅,1,-1,2014-05-11 20:27:23 UTC,天线宝宝康师傅,0,2014-11-04 05:31:17 UTC,Teletubby + Kang Shifu
1350,天线宝宝+方便面,,31,2014-05-11 20:27:47 UTC,,421,2014-11-04 05:31:40 UTC,Teletubby + instant noodles
1351,天线宝宝+轮胎,,21,2014-05-11 20:28:10 UTC,,533,2014-11-04 05:32:04 UTC,Teletubby + tire
1352,锦湖轮胎,,130,2014-05-11 20:28:34 UTC,,7697781,2014-11-04 05:32:30 UTC,Jin Hu tire
1353,锦胡轮胎,,77,2014-05-11 20:28:57 UTC,,189,2014-11-04 05:32:55 UTC,Jin Hu tire
1354,京城+内斗,1,-1,2014-05-11 20:30:30 UTC,内斗,0,2014-11-04 05:33:17 UTC,capital + internal struggle
1355,北京+内斗,1,-1,2014-05-11 20:32:04 UTC,内斗,0,2014-11-04 05:33:37 UTC,Beijing + internal struggle
1356,中共+内斗,1,-1,2014-05-11 20:33:37 UTC,内斗,0,2014-11-04 05:33:58 UTC,CCP + internal struggle
1357,3月20日,,617,2014-05-11 20:34:00 UTC,,7977383,2014-11-04 05:34:21 UTC,March 20th
1358,北京+昨晚,,7889912,2014-05-11 20:34:24 UTC,,5175393,2014-11-04 05:34:46 UTC,Beijing + last night
1359,北京+大事,,817,2014-05-11 20:34:47 UTC,,1021092,2014-11-04 05:35:09 UTC,Beijing + big event
1360,北京+枪,,891,2014-05-11 20:35:11 UTC,,3287163,2014-11-04 05:35:33 UTC,Beijing + gun
1361,政变,1,-1,2014-05-11 20:35:34 UTC,政变,0,2014-11-04 05:35:55 UTC,coup d'état
1362,领导层,,3452776,2014-05-11 20:35:57 UTC,,1138626,2014-11-04 05:36:18 UTC,level of leaders
1363,北京+出事,,515,2014-05-11 20:36:20 UTC,,909409,2014-11-04 05:36:42 UTC,Beijing + something happened
1364,军车如林,1,-1,2014-05-11 20:37:53 UTC,军车如林,0,2014-11-04 05:37:04 UTC,forest of military vehicles
1365,正规军调入,,12,2014-05-11 20:38:17 UTC,,76,2014-11-04 05:37:26 UTC,regular army transfer
1366,北京高层,1,-1,2014-05-11 20:39:27 UTC,北京高层,0,2014-11-04 05:37:48 UTC,Beijing high level
1367,falali,,279,2014-05-11 20:39:50 UTC,,11408,2014-11-04 05:38:11 UTC,falali
1368,实名,,32904334,2014-05-11 20:40:13 UTC,,20780777,2014-11-04 05:38:36 UTC,real name
1369,邓立群,,62,2014-05-11 20:40:36 UTC,,356,2014-11-04 05:39:02 UTC,Deng Liqun
1370,立军,,1203391,2014-05-11 20:41:00 UTC,,4853520,2014-11-04 05:39:51 UTC,Lijun
1371,BXL,,105481,2014-05-11 20:41:23 UTC,,59865,2014-11-04 05:40:46 UTC,BXL
1372,boxilai,,1527,2014-05-11 20:41:46 UTC,,3094,2014-11-04 05:41:38 UTC,boxilai
1373,熙来,,12519927,2014-05-11 20:42:10 UTC,,6497630,2014-11-04 05:42:27 UTC,Xilai
1374,西来,,65297162,2014-05-11 20:42:34 UTC,,393176,2014-11-04 05:43:15 UTC,Xilai
1375,谷开来,,2707708,2014-05-11 20:42:57 UTC,,1357827,2014-11-04 05:44:07 UTC,Gu Kailai
1376,查身份证,,2106410,2014-05-11 20:43:21 UTC,,290046,2014-11-04 05:44:59 UTC,check identification
1377,尚书,,2261445,2014-05-11 20:43:44 UTC,,1448384,2014-11-04 05:45:53 UTC,imperial high minister
1378,北四环+车祸,,250,2014-05-11 20:44:07 UTC,,2062,2014-11-04 05:46:43 UTC,North Fourth Ring + car crash
1379,保福寺+车祸,,40,2014-05-11 20:44:30 UTC,,2065,2014-11-04 05:47:20 UTC,Temple of the Guarding of Blessing
1380,法拉利,,22636703,2014-05-11 20:44:54 UTC,,16039956,2014-11-04 05:47:45 UTC,Ferrari
1381,薄,,174701332,2014-05-11 20:45:17 UTC,,153483247,2014-11-04 05:48:09 UTC,Bo
1382,3月13日,,521,2014-05-11 20:45:41 UTC,,5653978,2014-11-04 05:48:34 UTC,March 13th
1383,李月月鸟,1,-1,2014-05-11 20:47:15 UTC,月月鸟,0,2014-11-04 05:48:58 UTC,Li Moon Moon Bird [Li Peng]
1384,砍刀,,2987023,2014-05-11 20:47:38 UTC,,1724677,2014-11-04 05:49:51 UTC,machete
1385,丁家班,,57,2014-05-11 20:48:01 UTC,,83,2014-11-04 05:50:42 UTC,Ding Jiaban
1386,东方红时空,1,-1,2014-05-11 20:49:11 UTC,东方红时空,0,2014-11-04 05:51:31 UTC,East Is Red Space (CCTV staff Spring Festival show)
1387,李庄事件,,268624,2014-05-11 20:49:34 UTC,,30930,2014-11-04 05:52:16 UTC,Li Zhuang incident
1388,章沁生,1,-1,2014-05-11 20:49:55 UTC,章沁生,0,2014-11-04 05:53:01 UTC,Zhang Qinsheng
1389,马晓军,,135137,2014-05-11 20:50:16 UTC,,45366,2014-11-04 05:53:49 UTC,Ma Xiaojun
1390,税正宽,,33,2014-05-11 20:50:37 UTC,,24744,2014-11-04 05:54:40 UTC,Shui Zhengkuan
1391,外泄,,3508957,2014-05-11 20:50:57 UTC,,2447300,2014-11-04 05:55:29 UTC,leak (secrets)
1392,新疆+砍杀事件,,234017,2014-05-11 20:51:18 UTC,,96917,2014-11-04 05:56:18 UTC,Xinjiang + hacking death incident
1393,叶城,,841,2014-05-11 20:51:41 UTC,,419985,2014-11-04 05:57:09 UTC,Kargilik
1394,WLJ,,473,2014-05-11 20:52:05 UTC,,297035,2014-11-04 05:57:34 UTC,WLJ
1395,何厚铧,,773010,2014-05-11 20:52:28 UTC,,1178162,2014-11-04 05:58:01 UTC,He Houhua
1396,黄明,,500,2014-05-11 20:52:51 UTC,,849832,2014-11-04 05:58:28 UTC,Huang Ming
1397,李颖,,500,2014-05-11 20:53:15 UTC,,892083,2014-11-04 05:58:57 UTC,Li Ying
1398,38军,,82419,2014-05-11 20:53:39 UTC,,598219,2014-11-04 05:59:48 UTC,38th Army
1399,大活,,1489239,2014-05-11 20:54:02 UTC,,918839,2014-11-04 06:00:41 UTC,Angelica dahurica
1400,瘦腿袜,,4538730,2014-05-11 20:54:25 UTC,,3836500,2014-11-04 06:01:41 UTC,slimming stockings
1401,不厚,,42253470,2014-05-11 20:54:49 UTC,,765254,2014-11-04 06:02:36 UTC,not thick
1402,姜维平,1,-1,2014-05-11 20:56:21 UTC,姜维平,0,2014-11-04 06:03:22 UTC,Jiang Weiping
1403,王立军+公开信,,1987,2014-05-11 20:56:44 UTC,,2388,2014-11-04 06:04:08 UTC,Wang Lijun + open letter
1404,黄奇帆,,309,2014-05-11 20:57:08 UTC,,506355,2014-11-04 06:05:06 UTC,Huang Qifan
1405,邱进,1,-1,2014-05-11 20:58:18 UTC,邱进,0,2014-11-04 06:05:54 UTC,Qiu Jin
1406,团中央,,2742522,2014-05-11 20:58:41 UTC,,1270300,2014-11-04 06:06:42 UTC,Communist Youth League
1407,保护性拆除+临时性强奸,1,-1,2014-05-11 21:01:00 UTC,强奸,114441,2014-11-04 06:07:17 UTC,protective demolition + temporary rape
1408,平西王,,248853,2014-05-11 21:01:23 UTC,,69107,2014-11-04 06:07:40 UTC,King Who Pacified the West
1409,来俊臣,,9,2014-05-11 21:01:46 UTC,,50586,2014-11-04 06:08:05 UTC,Lai Junchen
1410,薄督,1,-1,2014-05-11 21:02:56 UTC,薄督,0,2014-11-04 06:08:27 UTC,Captain Bo
1411,成都美领馆,,443315,2014-05-11 21:03:20 UTC,,75406,2014-11-04 06:08:51 UTC,U.S. consulate in Chengdu
1412,美领馆,,1306943,2014-05-11 21:03:43 UTC,,581313,2014-11-04 06:09:16 UTC,U.S. embassy
1413,政治庇护,,303248,2014-05-11 21:04:31 UTC,,174265,2014-11-04 06:10:51 UTC,political asylum
1414,叙利亚+紧急声明,,30,2014-05-11 21:04:54 UTC,,169,2014-11-04 06:11:39 UTC,Syria + emergency declaration
1415,王立军,,882272,2014-05-11 21:05:18 UTC,,1453081,2014-11-04 06:12:28 UTC,Wang Lijun
1416,王立军,,882272,2014-05-11 21:05:42 UTC,,1453081,2014-11-04 06:13:20 UTC,Wang Lijun
1417,盲人律师,,421891,2014-05-11 21:06:06 UTC,,121725,2014-11-04 06:14:11 UTC,blind lawyer
1418,苹果日报,,2900768,2014-05-11 21:06:30 UTC,,1797301,2014-11-04 06:15:02 UTC,Apple Daily
1419,刘信达,,33,2014-05-11 21:06:54 UTC,,535,2014-11-04 06:15:55 UTC,Liu Xinda
1420,甘孜,,3485933,2014-05-11 21:07:18 UTC,,2335323,2014-11-04 06:16:48 UTC,Garze
1421,阿坝,,1992972,2014-05-11 21:07:41 UTC,,1576105,2014-11-04 06:17:42 UTC,Aba (Prefecture)
1422,活埋+名单,,79110,2014-05-11 21:08:04 UTC,,41241,2014-11-04 06:18:10 UTC,bury alive + list of names
1423,200+活埋,,108772,2014-05-11 21:08:28 UTC,,51552,2014-11-04 06:18:33 UTC,200 + bury alive
1424,去国声明,,56,2014-05-11 21:08:51 UTC,,1539,2014-11-04 06:18:56 UTC,leave the country and make a statement
1425,网络评论员,,323043,2014-05-11 21:09:14 UTC,,237206,2014-11-04 06:19:20 UTC,Internet commentator
1426,李思思男友,,136,2014-05-11 21:09:38 UTC,,305,2014-11-04 06:19:45 UTC,Li Sisi's boyfriend
1427,薄熙来,,2132665,2014-05-11 21:10:01 UTC,,2265308,2014-11-04 06:20:12 UTC,Bo Xilai
1428,七周年,,7745791,2014-05-11 21:10:48 UTC,,5684346,2014-11-04 06:20:56 UTC,seventh anniversary
1429,7周年,,675,2014-05-11 21:11:12 UTC,,5995466,2014-11-04 06:21:22 UTC,7th anniversary
1430,艾晓明,,456,2014-05-11 21:11:35 UTC,,62937,2014-11-04 06:21:47 UTC,Ai Xiaoming
1431,暴露,,51887876,2014-05-11 21:11:59 UTC,,37936982,2014-11-04 06:22:12 UTC,divulge
1432,宪政民主,1,-1,2014-05-11 21:12:45 UTC,宪政,0,2014-11-04 06:22:34 UTC,constitutional democracy
1433,宗教+迫害,,261,2014-05-11 21:13:08 UTC,,102140,2014-11-04 06:22:57 UTC,religion + persecution
1434,同胞书,,1621657,2014-05-11 21:13:32 UTC,,182510,2014-11-04 06:23:23 UTC,Books of Compatriots
1435,反共,1,-1,2014-05-11 21:13:55 UTC,反共,0,2014-11-04 06:23:46 UTC,anti-communist
1436,钱小芊,,32,2014-05-11 21:14:19 UTC,,2062,2014-11-04 06:24:08 UTC,Qian Xiaoqian
