id,name,banned,results,datetested,trigger,results2,datetested2,translation
84,周元根,1,-1,2014-05-11 03:03:15 UTC,元根,0,2014-11-03 17:32:11 UTC,Zhou Yuangen
85,政局动荡,1,-1,2014-05-11 03:04:26 UTC,政局动荡,0,2014-11-03 17:32:32 UTC,political upheaval
86,Freeweibo,1,-1,2014-05-11 03:04:50 UTC,Freeweibo,0,2014-11-03 17:32:52 UTC,Freeweibo
87,抛售人民币,1,-1,2014-05-11 03:06:01 UTC,抛售人民币,0,2014-11-03 17:33:13 UTC,undersell the Renminbi
88,藏青会,1,-1,2014-05-11 03:07:13 UTC,藏青会,0,2014-11-03 17:33:33 UTC,Tibetan Youth Congress
89,张凤梅+裸体,1,-1,2014-05-11 03:09:25 UTC,裸体,429,2014-11-03 17:33:54 UTC,Zhang Fengmei+naked
90,习+集权,1,-1,2014-05-11 03:10:37 UTC,习集权,0,2014-11-03 17:34:15 UTC,Xi+centralization of state power
91,习+江,1,-1,2014-05-11 03:11:56 UTC,习江,0,2014-11-03 17:34:35 UTC,Xi+Jiang
92,席主席,1,-1,2014-05-11 03:13:08 UTC,席主席,0,2014-11-03 17:34:56 UTC,President Mat
93,除习,1,-1,2014-05-11 03:14:19 UTC,除习,0,2014-11-03 17:35:17 UTC,remove Xi
94,毛+皇帝,,774649,2014-05-11 03:14:43 UTC,,407915,2014-11-03 17:35:40 UTC,Mao+emperor
95,中南海+（权）斗,1,-1,2014-05-11 03:15:55 UTC,中南海,0,2014-11-03 17:36:02 UTC,Zhongnanhai+(power) struggle
96,新疆+刀,1,-1,2014-05-11 03:17:07 UTC,新疆刀,0,2014-11-03 17:36:22 UTC,Xinjiang+knife
97,新疆+恐怖,1,-1,2014-05-11 03:18:19 UTC,新疆恐怖,0,2014-11-03 17:36:43 UTC,Xinjiang+terror
98,新疆人+桂林,1,-1,2014-05-11 03:20:01 UTC,新疆人桂林,0,2014-11-03 17:37:04 UTC,Xinjianger+Guilin
99,维吾尔族+砍,1,-1,2014-05-11 03:21:14 UTC,维吾尔族砍,0,2014-11-03 17:37:24 UTC,Uyghur+cut
100,桂林+西门桥,1,-1,2014-05-11 03:22:49 UTC,桂林西门桥,0,2014-11-03 17:37:45 UTC,Guilin+Ximenqiao
101,桂林火车站,,275248,2014-05-11 03:23:13 UTC,,65020,2014-11-03 17:38:09 UTC,Guilin train station
102,桂林西门桥+宝马车司机,1,-1,2014-05-11 03:25:59 UTC,桂林西门桥,0,2014-11-03 17:38:31 UTC,Guilin Ximenqiao+BMW driver
103,西门桥+宝马车司机+新疆疑犯,1,-1,2014-05-11 03:27:33 UTC,西门桥宝马车司机新疆疑犯,0,2014-11-03 17:38:51 UTC,Ximenqiao+BMW driver+Xinjiang suspect
104,中国烈士旅,1,-1,2014-05-11 03:29:07 UTC,中国烈士旅,0,2014-11-03 17:39:12 UTC,China Martyrs Brigade
105,皮帽子,1,-1,2014-05-11 03:30:19 UTC,皮帽子,0,2014-11-03 17:39:32 UTC,pi maozi [fur hats]
106,沈培平被调查+贺国强,1,-1,2014-05-11 03:31:52 UTC,沈培平被调查贺国强,0,2014-11-03 17:39:53 UTC,Shen Peiping under investigation+He Guoqiang
107,贺锦涛,1,-1,2014-05-11 03:33:26 UTC,贺锦涛,0,2014-11-03 17:40:13 UTC,He Jintao
108,刘霞+软禁,1,-1,2014-05-11 03:35:01 UTC,刘霞软禁,0,2014-11-03 17:40:34 UTC,Liu Xia+house arrest
109,曹顺利,1,-1,2014-05-11 03:36:14 UTC,曹顺利,0,2014-11-03 17:40:54 UTC,Cao Shunli
110,捍卫新闻自由,1,-1,2014-05-11 03:37:51 UTC,捍卫新闻自由,0,2014-11-03 17:41:14 UTC,defend freedom of the press
111,一审判决+公民,1,-1,2014-05-11 03:39:31 UTC,一审判决公民,0,2014-11-03 17:41:35 UTC,one trial judgment+citizen
112,丁家喜+赵常青,1,-1,2014-05-11 03:41:55 UTC,赵常青,0,2014-11-03 17:41:55 UTC,Ding Jiaxi+Zhao Changqing
113,李蔚+袁冬,1,-1,2014-05-11 03:43:29 UTC,李蔚袁冬,0,2014-11-03 17:42:16 UTC,Li Wei+Yuan Dong
